Coord;Country_CODE;Country;C_CODE;C;GC_CODE;GC;LAU_CODE;LAU;NUTS3;NAME;LAU_MAP_CODE;Project;City;count_city;count_country
Point (-9.13534469054989451 38.71205323597419579);PT;Portugal;PT001C1;Lisboa;PT001K1;Lisboa;PT_110665;SANTA MARIA MAIOR;PT170;Lisbon;PT_110665;SMART CAMPUS;Lisbon;3;9
Point (9.172879515579762 45.46849377011358229);IT;Italy;IT002C1;Milano;IT002K1;Milano;IT_015146;Milano;ITC4C;Milano;IT_015146;SMART CAMPUS;Milan;9;16
Point (13.01836287838601791 55.56610453477372147);SE;Sweden;SE003C1;Malmö;0;0;SE_1280;Malmö;SE224;Malmo;SE_1280;PERIPHERIA;Malmo;1;4
Point (8.78092139447755926 53.11891670475652205);DE;Germany;DE012C1;Bremen;;;DE_04011000;Bremen, Stadt;DE501;Bremen;DE_04011000;PERIPHERIA;Bremen;1;4
Point (23.73587469597305954 37.98892368367186378);EL;Greece;EL001C2;Athina;EL001K1;Athina;EL_45010000;Municipal Commune of Athens (psevdo);EL303;Athens;EL_45010000;PERIPHERIA;Athens;4;7
Point (8.89248142560265364 44.44167677247362036);IT;Italy;IT006C1;Genova;;;IT_010025;Genova;ITC33;Genova;IT_010025;PERIPHERIA;Genoa;1;16
Point (-8.8723991005664935 38.58156427502743213);PT;Portugal;;;;;PT_150802;PALMELA;PT170;Palmela;PT_150802;PERIPHERIA;Palmela;1;9
Point (10.15699783569668746 56.162567235537459);DK;Denmark;DK002C1;Århus;0;0;DK_751;Aarhus;DK042;Aarhus;DK_751;DIGISER;Aarhus;1;4
Point (25.02066084311153915 60.22280481501531568);FI;Finland;FI001C2;Helsinki / Helsingfors;FI001K2;Helsinki / Helsingfors;FI_091;Helsingfors;FI1B1;Helsinki;FI_091;DIGISER;Helsinki;2;4
Point (14.56293656149277638 46.05424771335781031);SI;Slovenia;SI001C1;Ljubljana;0;0;SI_061;Ljubljana;SI041;Ljubljana;SI_061;DIGISER;Ljubljana;1;2
Point (6.12662316246271388 49.61406329221082956);LU;Luxembourg;LU001C1;Luxembourg;;;LU_0304;Luxembourg;LU000;Luxembourg;LU_0304;DIGISER;Luxembourg;1;2
Point (11.64159611428043561 52.11646365045606899);DE;Germany;DE019C1;Magdeburg;0;0;DE_15003000;Magdeburg, Landeshauptstadt;DEE03;Magdeburg;DE_15003000;DIGISER;Magdeburg;1;4
Point (9.172879515579762 45.46849377011358229);IT;Italy;IT002C1;Milano;IT002K1;Milano;IT_015146;Milano;ITC4C;Milano;IT_015146;DIGISER;Milan;9;16
Point (-8.61580118119002591 41.15365567186727702);PT;Portugal;PT002C1;Porto;PT002K1;Porto;PT_131217;UNIÃO DAS FREGUESIAS DE CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA, SÃO NICOLAU E VITÓRIA;PT11A;Porto;PT_131217;DIGISER;Porto;1;9
Point (16.92275106639779381 52.40651440360357327);PL;Poland;PL005C1;Pozna?;0;0;PL_430626401;Pozna?;PL415;Poznan;PL_1002301626401;DIGISER;Poznan;1;6
Point (4.3080669722709013 51.92582673969685203);NL;Netherlands;NL003C2;Greater Rotterdam        ;0;0;NL_GM0599;Rotterdam;NL33C;Rotterdam;NL_GM0599;DIGISER;Rotterdam;3;4
Point (22.94959571508119467 40.62392621076021726);EL;Greece;EL002C2;Thessaloniki;0;0;EL_07010100;Municipal Commune of Thessaloniki (psevdo);EL522;Thessaloniki;EL_07010100;DIGISER;Thessaloniki;1;7
Point (9.172879515579762 45.46849377011358229);IT;Italy;IT002C1;Milano;IT002K1;Milano;IT_015146;Milano;ITC4C;Milano;IT_015146;IMAGINE;Milano;9;16
